SubmissionID,ExerciseID,StudentID,StartDate,LastUpdateDate,NumberAutograderRuns,TimeOnTask,CodeHistoryLink,StudentCode
2791330,1931,63706,2020-09-09 02:24:48.587214+00:00,2020-12-23 18:25:17.842792+00:00,6.0,231.0,https://backend.academy.cs.cmu.edu/a/user/63706/files/3546591/1,
4459620,1933,63715,2021-01-11 15:03:02.076638+00:00,2021-01-11 15:05:55.746060+00:00,1.0,94.0,https://backend.academy.cs.cmu.edu/a/user/63715/files/5261304/1,
3214626,1976,63963,2020-10-01 18:48:58.162741+00:00,2020-10-05 18:44:04.761445+00:00,8.0,23.0,https://backend.academy.cs.cmu.edu/a/user/63963/files/3974919/1,
3700663,2020,63963,2020-11-02 19:42:52.118580+00:00,2020-11-04 19:52:53.756958+00:00,1.0,135.0,https://backend.academy.cs.cmu.edu/a/user/63963/files/4470642/1,
4205842,1968,64289,2020-12-09 01:47:43.021409+00:00,2020-12-09 01:50:21.054766+00:00,2.0,159.0,https://backend.academy.cs.cmu.edu/a/user/64289/files/4993387/1,
2716773,1893,64855,2020-09-02 12:14:50.278776+00:00,2020-09-02 12:19:05.585458+00:00,4.0,6.0,https://backend.academy.cs.cmu.edu/a/user/64855/files/3471216/1,
2973917,1951,64855,2020-09-18 11:30:06.932581+00:00,2020-09-18 12:05:12.391680+00:00,4.0,9.0,https://backend.academy.cs.cmu.edu/a/user/64855/files/3731233/1,
3293950,2003,64855,2020-10-07 11:39:42.315197+00:00,2020-10-07 12:05:06.012864+00:00,2.0,4.0,https://backend.academy.cs.cmu.edu/a/user/64855/files/4055494/1,
2926202,1908,64877,2020-09-16 12:18:12.095289+00:00,2020-09-16 12:27:05.941321+00:00,1.0,30.0,https://backend.academy.cs.cmu.edu/a/user/64877/files/3682750/1,
4479010,2022,64910,2021-01-12 13:35:25.529715+00:00,2021-01-12 13:36:33.580459+00:00,1.0,70.0,https://backend.academy.cs.cmu.edu/a/user/64910/files/5281306/1,
3379773,1965,65015,2020-10-13 13:47:18.856707+00:00,2020-10-13 14:30:41.509509+00:00,2.0,12.0,https://backend.academy.cs.cmu.edu/a/user/65015/files/4143269/1,
3646985,2034,66063,2020-10-29 14:58:31.429466+00:00,2020-10-29 15:16:11.409521+00:00,6.0,10.0,https://backend.academy.cs.cmu.edu/a/user/66063/files/4416374/1,
3598263,1966,66130,2020-10-27 12:03:23.315703+00:00,2020-10-27 12:19:11.882078+00:00,3.0,33.0,https://backend.academy.cs.cmu.edu/a/user/66130/files/4366504/1,
3576530,1967,66130,2020-10-26 12:10:11.757667+00:00,2020-10-26 12:22:04.414150+00:00,2.0,50.0,https://backend.academy.cs.cmu.edu/a/user/66130/files/4344267/1,
